,item_id,text,np1,np2,np1_prob,np2_prob
36,19_A,the truck lost control and crashed into the oncoming bicycle. All that was left of [MASK] was a crushed heap of metal.,the truck,the bicycle,0.40147897106984637,0.11687373041184493
37,19_B,the bicycle lost control and crashed into the oncoming truck. All that was left of [MASK] was a crushed heap of metal.,the bicycle,the truck,0.2873406492150556,0.17089338853864722
38,20_A,"Chris placed the book next to the soccer ball on the grassy hill, but [MASK] rolled away down the slope.",the book,the soccer ball,0.027870179756969038,0.14435112565605787
39,20_B,"Chris placed the soccer ball next to the book on the grassy hill, but [MASK] rolled away down the slope.",the soccer ball,the book,0.23645642665283415,0.01935675721338945
40,21_A,"Mary tried to pack the apple, along with the melon, into the jar, but [MASK] wouldn't fit.",the apple,the melon,0.04318664619710343,0.0014073656631865743
41,21_B,"Mary tried to pack the melon, along with the apple, into the jar, but [MASK] wouldn't fit.",the melon,the apple,0.001513105892247043,0.031996747180483065
42,22_A,"Sarah tried to climb up the wall, with one hand on the window ledge and the other on the drainpipe, but [MASK] gave way.",the drainpipe,the window ledge,7.404042202504422e-06,0.01473034115017933
43,22_B,"Sarah tried to climb up the wall, with one hand on the drainpipe and the other on the window ledge, but [MASK] gave way.",the window ledge,the drainpipe,0.027871018056386445,8.763769604960046e-06
44,23_A,"When the peach collided with the coconut, [MASK] was smashed to pieces.",the peach,the coconut,0.5658626028568515,0.45486359175753666
45,23_B,"When the coconut collided with the peach, [MASK] was smashed to pieces.",the coconut,the peach,0.36968690494222034,0.5551833488493748
46,24_A,"When the rock collided with the ornament, [MASK] shattered.",the rock,the ornament,0.00046742744810673425,1.4730499282730316e-05
47,24_B,"When the ornament collided with the rock, [MASK] shattered.",the ornament,the rock,1.3844164615506076e-05,0.0007010019464016993
48,25_A,Ben packed his shirt in the same suitcase as his mug. When he took [MASK] out it was broken.,the shirt,the mug,0.14046661328930155,0.003685109621617327
49,25_B,Ben packed his mug in the same suitcase as his shirt. When he took [MASK] out it was broken.,the mug,the shirt,0.017147809890749023,0.017683756445572713
50,26_A,"Charlotte packed her shirt in the same suitcase as her book. When she took [MASK] out, it was creased.",the shirt,the book,0.005357593082837931,0.015734442060817977
51,26_B,"Charlotte packed her book in the same suitcase as her shirt. When she took [MASK] out, it was creased.",the book,the shirt,0.017281903550836464,0.0023687781678494117
52,27_A,"Noah put his keys away in his pocket with his coins, but on his walk home [MASK] made a hole in the lining.",the keys,the coins,0.000680597583461874,0.0012613874434657737
53,27_B,"Noah put his coins away in his pocket with his keys, but on his walk home [MASK] made a hole in the lining.",the coins,the keys,0.0009014871050593624,0.0004975592714348379
54,28_A,"When the raquet collided with the tennis ball, [MASK] bounced back and hit Josh in the face.",the raquet,the tennis ball,0.00020521090074591245,0.47554394790981963
55,28_B,"When the tennis ball collided with the raquet, [MASK] bounced back and hit Josh in the face.",the tennis ball,the raquet,0.5395280004147217,0.0001861249550907762
56,29_A,"Natalie regretted putting the chocolate bar in her pocket with her phone: when she took [MASK] out, it had melted.",the chocolate bar,the phone,0.25570501339501,0.0018168723142493591
57,29_B,"Natalie regretted putting her phone in her pocket with the chocolate bar: when she took [MASK] out, it had melted.",the phone,the chocolate bar,0.00630251360141002,0.17428763360032493
58,30_A,"Alice stuffed a banana in her pocket with her wallet. When she took [MASK] out, it was squashed.",the banana,the wallet,0.3905384525712028,0.023508083748283403
59,30_B,"Alice stuffed her wallet in her pocket with a banana. When she took [MASK] out, it was squashed.",the wallet,the banana,0.007595450943377047,0.6509323319453689
